Year,New York City Population,NYC Consumption(Million gallons per day)
1979,7102100.0,1512.0
1980,7071639.0,1506.0
1981,7089241.0,1309.0
1982,7109105.0,1382.0
1983,7181224.0,1424.0
1984,7234514.0,1465.0
1985,7274054.0,1326.0
1986,7319246.0,1351.0
1987,7342476.0,1447.0
1988,7353719.0,1484.0
1989,7344175.0,1402.0
1990,7335650.0,1424.0
1991,7374501.0,1469.0
1992,7428944.0,1369.0
1993,7506166.0,1368.5
1994,7570458.0,1357.7
1995,7633040.0,1325.7
1996,7697812.0,1297.9
1997,7773443.0,1205.5
1998,7858259.0,1219.5
1999,7947660.0,1237.2
2000,8008278.0,1240.4
2001,8024963.5,1184.0
2002,8041649.0,1135.6
2003,8058334.5,1093.7
2004,8075020.0,1099.5
2005,8091705.5,1138.0
2006,8108391.0,1069.0
2007,8125076.5,1114.0
2008,8141762.0,1098.0
2009,8158447.5,1007.5
2010,8175133.0,1039.0
2011,8284098.0,1021.0
2012,8361179.0,1009.1
2013,8422460.0,1006.1
2014,8471990.0,996.0
2015,8516502.0,1009.0
2016,8537673.0,1002.0
2017,8622698.0,990.2
